,房产名称,房屋类型,房产坐落,所在小区,建筑面积,户型,朝向,所在楼层,建成年代,规划用途,单位面积价格,财产参考总价,本次网络询价时点为
27,大兴区旧宫镇上林苑4号楼6层4-602:72.2(㎡),住宅用房,大兴区旧宫镇上林苑4号楼6层4-602,上林苑,72.20㎡,1室1厅1卫,南北,6,,住宅,40271.00元/㎡,2907566.00元,2021年08月05日
28,北京市大兴区欣荣北大街45号院1号楼17层1702号:66.58(㎡),住宅用房,北京市大兴区欣荣北大街45号院1号楼17层1702号,北京市大兴区欣荣北大街45号院,66.58㎡,1室0厅1卫,东向,17,,住宅,41118.00元/㎡,2737636.00元,2021年06月07日
29,大兴区欣荣北大街45号院4号楼14层1406:70.33(㎡),住宅用房,大兴区欣荣北大街45号院4号楼14层1406,鸿坤理想城,70.33㎡,2室1厅1卫,南向,14,,住宅,35887.00元/㎡,2523933.00元,2020年11月09日
30,北京市大兴区芳源里10号楼4层6单元401:117.88(㎡),住宅用房,北京市大兴区芳源里10号楼4层6单元401,芳源里,117.88㎡,3室2厅2卫,南北,4,,住宅,46932.00元/㎡,5532344.00元,2021年11月03日
31,北京市大兴区芳苑小区1号楼7层3单元701:90.87(㎡),住宅用房,北京市大兴区芳苑小区1号楼7层3单元701,芳苑小区,90.87㎡,2室1厅1卫,南北,7,,住宅,37942.00元/㎡,3447790.00元,2020年09月10日
32,北京市大兴区芳苑小区4号楼7层5单元702:90.87(㎡),住宅用房,北京市大兴区芳苑小区4号楼7层5单元702,北京市大兴区芳苑小区4号楼,90.87㎡,2室1厅1卫,南北,7,,住宅,36834.00元/㎡,3347106.00元,2020年11月02日
33,北京市大兴区黄村镇泰中花园7号楼13层1304:108.1(㎡),住宅用房,北京市大兴区黄村镇泰中花园7号楼13层1304,泰中花园,108.10㎡,2室1厅2卫,东北,13,,住宅,33534.00元/㎡,3625025.00元,2021年08月26日
34,北京市大兴区黄村镇清源西里38号楼1层2-101:51.16(㎡),住宅用房,北京市大兴区黄村镇清源西里38号楼1层2-101,清源西里,51.16㎡,2室1厅1卫,南北,1,,住宅,41986.00元/㎡,2148004.00元,2020年09月11日
35,北京市密云区博世庄园9号楼6层602:152.22(㎡),住宅用房,北京市密云区博世庄园9号楼6层602,博世庄园,152.22㎡,3室2厅2卫,南北,6,,住宅,14567.00元/㎡,2217389.00元,2020年11月27日
36,密云区开园小区13号楼18层1单元1801:104.94(㎡),住宅用房,密云区开园小区13号楼18层1单元1801,开园小区,104.94㎡,2室1厅1卫,南北,18,,住宅,20783.00元/㎡,2180968.00元,2020年12月15日
37,密云区檀州家园西区4号楼3层3单元302:91.96(㎡),住宅用房,密云区檀州家园西区4号楼3层3单元302,密云区檀州家园西区4号楼3层3单元302,91.96㎡,2室2厅1卫,南北,3,,住宅,18113.00元/㎡,1665671.00元,2021年01月13日
38,密云区花园路16号院5号楼6层2单元601:195.99(㎡),住宅用房,密云区花园路16号院5号楼6层2单元601,密云区花园路16号院5号楼6层2单元601,195.99㎡,4室2厅2卫,南北,6,,住宅,25307.00元/㎡,4959919.00元,2021年02月22日
39,密云区阳光街385号院6号楼4层3单元401:107.93(㎡),住宅用房,密云区阳光街385号院6号楼4层3单元401,保利花园,107.93㎡,2室2厅1卫,南北,4,,住宅,23666.00元/㎡,2554271.00元,2021年05月24日
40,北京市平谷区平谷镇林荫家园20号楼4层（9）-402号:129.1(㎡),住宅用房,北京市平谷区平谷镇林荫家园20号楼4层（9）-402号,林荫家园,129.10㎡,3室1厅1卫,南北,4,,住宅,22528.00元/㎡,2908365.00元,2021年07月16日
41,7号楼1层2单元202:118.38(㎡),住宅用房,7号楼1层2单元202,东关新区,118.38㎡,3室1厅2卫,南向,1,,住宅,22192.00元/㎡,2627089.00元,2021年03月29日
42,4号楼11层1101:95.13(㎡),住宅用房,4号楼11层1101,尚书苑小区,95.13㎡,3室1厅1卫,东向,11,,成套住宅,29779.00元/㎡,2832876.00元,2021年03月29日
43,延庆镇东关新区7号楼3层1单元105:118.38(㎡),住宅用房,延庆镇东关新区7号楼3层1单元105,东关新区,118.38㎡,3室1厅2卫,南向,3,,住宅,22192.00元/㎡,2627089.00元,2021年03月29日
44,延庆区新兴小区9号楼1层五单元502:80.8(㎡),住宅用房,延庆区新兴小区9号楼1层五单元502,新兴小区,80.80㎡,2室1厅1卫,南北,1,,住宅,21266.00元/㎡,1718293.00元,2021年07月08日
45,10号楼5层509号:113.4(㎡),住宅用房,10号楼5层509号,胜芳园,113.40㎡,3室1厅1卫,南向,5,,住宅,24658.00元/㎡,2796217.00元,2021年03月29日
46,北京市延庆区颍泽洲小区三区7号楼4层107:117.88(㎡),住宅用房,北京市延庆区颍泽洲小区三区7号楼4层107,颍泽洲,117.88㎡,3室1厅1卫,南北,4,,住宅,20855.00元/㎡,2458387.00元,2021年10月11日
47,怀柔区府前街9号院4号楼2层1单元201:108.8(㎡),住宅用房,怀柔区府前街9号院4号楼2层1单元201,怀柔区府前街9号院4号楼2层1单元201,108.80㎡,3室1厅1卫,南北,2,,住宅,30778.00元/㎡,3348646.00元,2021年03月24日
48,怀柔区开放路甲117号楼6层3-601:112.57(㎡),住宅用房,怀柔区开放路甲117号楼6层3-601,开放路甲117号小区,112.57㎡,3室1厅1卫,西向,6,,住宅,22216.00元/㎡,2500855.00元,2021年04月12日
49,怀柔区怡安园1号楼3层5-532:72.36(㎡),住宅用房,怀柔区怡安园1号楼3层5-532,怡安园,72.36㎡,2室1厅1卫,南北,3,,住宅,26372.00元/㎡,1908278.00元,2021年04月01日
50,怀柔区滨湖小区49号楼10层1单元1003:121.74(㎡),住宅用房,怀柔区滨湖小区49号楼10层1单元1003,怀柔区滨湖小区49号楼10层1单元1003,121.74㎡,3室1厅1卫,南北,10,,住宅,26086.00元/㎡,3175710.00元,2020年10月27日
51,北京市房山区城关街道九洲兴达家园B区13号楼3层1-301号:114.13(㎡),住宅用房,北京市房山区城关街道九洲兴达家园B区13号楼3层1-301号,九洲兴达家园,114.13㎡,3室1厅1卫,南北,3,,住宅,18727.00元/㎡,2137313.00元,2022年03月31日
52,北京市房山区窦店镇汇丰街3号院17号6层4单元601:122.54(㎡),住宅用房,北京市房山区窦店镇汇丰街3号院17号6层4单元601,世界名园A区,122.54㎡,2室2厅1卫,东西,6,,住宅,18787.00元/㎡,2302159.00元,2021年03月19日
53,房山区窦店镇腾龙家园二区13号9层2单元901:142.75(㎡),住宅用房,房山区窦店镇腾龙家园二区13号9层2单元901,腾龙家园二区,142.75㎡,3室2厅2卫,南北,9,,住宅,19564.00元/㎡,2792761.00元,2022年03月23日
54,北京市房山区长阳镇大宁山庄三区19号楼2层2-202:129.93(㎡),住宅用房,北京市房山区长阳镇大宁山庄三区19号楼2层2-202,大宁山庄,129.93㎡,2室1厅1卫,南北,2,,住宅,38527.00元/㎡,5005813.00元,2021年05月24日
55,昌平区东小口镇北郊肿瘤医院宿舍6号楼6层1单元602:61.55(㎡),住宅用房,昌平区东小口镇北郊肿瘤医院宿舍6号楼6层1单元602,昌平区东小口镇北郊肿瘤医院宿舍,61.55㎡,2室1厅1卫,东向,6,,住宅,28979.00元/㎡,1783657.00元,2021年02月05日
56,北京市昌平区东小口镇天通东苑一区45号楼5层2单元501:76.36(㎡),住宅用房,北京市昌平区东小口镇天通东苑一区45号楼5层2单元501,北京市昌平区东小口镇天通东苑一区,76.36㎡,2室1厅1卫,南北,5,,住宅,32486.00元/㎡,2480631.00元,2021年01月19日
57,北京市昌平区东小口镇天通苑小区东苑7号楼26层2:155.82(㎡),住宅用房,北京市昌平区东小口镇天通苑小区东苑7号楼26层2,天通苑小区东苑,155.82㎡,2室1厅1卫,东向,26,,住宅,30900.00元/㎡,4814838.00元,2021年11月08日
58,北京市昌平区北七家镇北亚花园16号楼1层1单元1A号:79.48(㎡),住宅用房,北京市昌平区北七家镇北亚花园16号楼1层1单元1A号,北亚花园,79.48㎡,2室1厅1卫,东西,1,,住宅,32789.00元/㎡,2606070.00元,2021年05月26日
59,北京市昌平区北七家镇燕城苑14号楼3层1单元301:107.65(㎡),住宅用房,北京市昌平区北七家镇燕城苑14号楼3层1单元301,北京市昌平区北七家镇燕城苑,107.65㎡,3室1厅1卫,南北,3,,住宅,36804.00元/㎡,3961951.00元,2021年05月14日
60,北京市昌平区回龙观镇东村家园5号楼7至8层4单元701:120.39(㎡),住宅用房,北京市昌平区回龙观镇东村家园5号楼7至8层4单元701,东村家园,120.39㎡,3室2厅2卫,南北,7,,住宅,45065.00元/㎡,5425375.00元,2021年09月10日
61,昌平区回龙观镇二拨子村北京人家16号楼1层1单元102:117.41(㎡),住宅用房,昌平区回龙观镇二拨子村北京人家16号楼1层1单元102,北京人家,117.41㎡,3室1厅1卫,南北,1,,住宅,54137.00元/㎡,6356225.00元,2021年06月17日
62,,住宅用房,,北京市农业职业学院校内,116.95㎡,3室1厅1卫,南北,1,,住宅,39580.00元/㎡,4628881.00元,2021年05月12日
63,北京市昌平区回龙观镇金达园小区1号楼2层208:49.31(㎡),住宅用房,北京市昌平区回龙观镇金达园小区1号楼2层208,金达园,49.31㎡,1室1厅1卫,南北,2,,住宅,53108.00元/㎡,2618755.00元,2021年04月13日
64,北京市昌平区回龙观镇龙禧苑三区15号楼2层3单元202:99.52(㎡),住宅用房,北京市昌平区回龙观镇龙禧苑三区15号楼2层3单元202,北店嘉园,99.52㎡,2室1厅1卫,南北,2,,住宅,42239.00元/㎡,4203625.00元,2021年01月26日
65,昌平区天权路2号院28号楼7层4单元701:97.8(㎡),住宅用房,昌平区天权路2号院28号楼7层4单元701,金色漫香苑,97.80㎡,2室1厅1卫,南北,7,,住宅,49488.00元/㎡,4839926.00元,2021年12月07日
66,北京市昌平区天通中苑61号楼12层4单元1202:157.83(㎡),住宅用房,北京市昌平区天通中苑61号楼12层4单元1202,天通中苑,157.83㎡,3室2厅2卫,南北,12,,住宅,43953.00元/㎡,6937102.00元,2021年06月25日
67,北京市昌平区小汤山镇沙顺路68号（翰宏花园）1-43号-1至2层:360.78(㎡),住宅用房,北京市昌平区小汤山镇沙顺路68号（翰宏花园）1-43号-1至2层,纳帕溪谷,360.78㎡,4室2厅3卫,南北,0,,住宅,44121.00元/㎡,15917974.00元,2022年02月28日
68,北京市昌平区政府街6号院6号楼14至15层1单元15A03:302.21(㎡),住宅用房,北京市昌平区政府街6号院6号楼14至15层1单元15A03,新新公寓,302.21㎡,5室2厅4卫,南北,14,,住宅,29823.00元/㎡,9012809.00元,2021年01月19日
69,北京市昌平区新悦家园13号楼4层2单元402:130.52(㎡),住宅用房,北京市昌平区新悦家园13号楼4层2单元402,新悦家园,130.52㎡,3室1厅1卫,南北,4,,住宅,37398.00元/㎡,4881187.00元,2022年03月14日
70,北京市昌平区昌平镇水屯家园7号楼1单元-1层1单元F102:73.58(㎡),住宅用房,北京市昌平区昌平镇水屯家园7号楼1单元-1层1单元F102,水屯家园,73.58㎡,2室1厅1卫,南北,-1,,住宅,28102.00元/㎡,2067745.00元,2022年04月08日
71,北京市昌平区沙阳路32号院8号楼3层2单元301:51.11(㎡),住宅用房,北京市昌平区沙阳路32号院8号楼3层2单元301,保利芳园,51.11㎡,2室1厅1卫,南北,3,,住宅,48594.00元/㎡,2483639.00元,2021年12月20日
72,北京市朝阳区世纪东方嘉园210楼2层201:133(㎡),住宅用房,北京市朝阳区世纪东方嘉园210楼2层201,世纪东方城,133.00㎡,3室2厅2卫,东南,2,,住宅,40073.00元/㎡,5329709.00元,2020年11月11日
73,东三环中路39号院7号楼16层1903:288.99(㎡),住宅用房,东三环中路39号院7号楼16层1903,建外SOHO,288.99㎡,3室2厅3卫,东南,16,,高档公寓,49834.00元/㎡,14401528.00元,2021年12月21日
74,北京市朝阳区东三环北路30号21至22层二座26H:285.7(㎡),住宅用房,北京市朝阳区东三环北路30号21至22层二座26H,紫荆豪庭,285.70㎡,5室2厅2卫,东南,21,,高档公寓,43109.00元/㎡,12316241.00元,2020年12月25日
75,北京市朝阳区东三环南路54号院3号楼21层2110:130.6(㎡),住宅用房,北京市朝阳区东三环南路54号院3号楼21层2110,北京市朝阳区东三环南路54号院,130.60㎡,3室1厅2卫,南北,21,,住宅,55962.00元/㎡,7308637.00元,2021年03月11日
76,北京市朝阳区东四环北路6号二区30号楼16层1902号:253.44(㎡),住宅用房,北京市朝阳区东四环北路6号二区30号楼16层1902号,安徒生花园,253.44㎡,4室2厅3卫,南北,16,,住宅,88543.00元/㎡,22440338.00元,2021年04月02日
77,北京市朝阳区倚林佳园21号楼21-E号:246.87(㎡),,北京市朝阳区倚林佳园21号楼21-E号,倚林佳园,246.87㎡,3室2厅3卫,南北,0,,住宅,83860.00元/㎡,20702518.00元,2020年01月20日
78,北京市朝阳区八里庄南里13号楼5层2:71.94(㎡),住宅用房,北京市朝阳区八里庄南里13号楼5层2,八里庄南里13号楼,71.94㎡,2室1厅1卫,南向,5,,住宅,52557.00元/㎡,3780951.00元,2021年03月22日
79,北京市朝阳区八里庄西里2号楼1层1J:79.36(㎡),住宅用房,北京市朝阳区八里庄西里2号楼1层1J,晨曦园,79.36㎡,2室1厅1卫,西向,1,,住宅,55482.00元/㎡,4403052.00元,2021年11月04日
80,北京市朝阳区六里屯北里6号楼6层7门602:54.32(㎡),住宅用房,北京市朝阳区六里屯北里6号楼6层7门602,六里屯社区,54.32㎡,2室1厅1卫,南向,6,,住宅,60876.00元/㎡,3306784.00元,2021年10月09日
81,北京市朝阳区农光东里33号楼8层803号:64.17(㎡),住宅用房,北京市朝阳区农光东里33号楼8层803号,农光东里,64.17㎡,2室1厅1卫,东南,8,,住宅,60687.00元/㎡,3894285.00元,2020年06月22日
82,北京市朝阳区劲松一区135号楼-1层2门01:37.19(㎡),住宅用房,北京市朝阳区劲松一区135号楼-1层2门01,劲松一区,37.19㎡,1室0厅1卫,南向,-1,,住宅,63121.00元/㎡,2347470.00元,2020年11月04日
83,北京市朝阳区劲松八区835号楼4层3门12:61.3(㎡),住宅用房,北京市朝阳区劲松八区835号楼4层3门12,劲松八区835号楼,61.30㎡,2室1厅1卫,东西,4,,住宅,53466.00元/㎡,3277466.00元,2021年04月21日
84,北京市朝阳区北苑路172号院19号楼18层1806号:180.93(㎡),住宅用房,北京市朝阳区北苑路172号院19号楼18层1806号,欧陆经典,180.93㎡,4室2厅2卫,东北,18,,住宅,72793.00元/㎡,13170437.00元,2021年03月23日
85,北京市朝阳区十里堡北里1号楼2层201号:61.49(㎡),住宅用房,北京市朝阳区十里堡北里1号楼2层201号,北京市朝阳区十里堡北里1号楼,61.49㎡,2室1厅1卫,西南,2,,住宅,61190.00元/㎡,3762573.00元,2021年10月20日
86,北京市朝阳区南湖中园114号楼1层5单元102:71.28(㎡),住宅用房,北京市朝阳区南湖中园114号楼1层5单元102,南湖中园一区,71.28㎡,2室1厅1卫,南北,1,,住宅,72779.00元/㎡,5187687.00元,2021年08月16日
87,北京市朝阳区南湖南路8号院2号楼3层4门303:145.55(㎡),住宅用房,北京市朝阳区南湖南路8号院2号楼3层4门303,风格雅园,145.55㎡,3室2厅2卫,南北,3,,住宅,70784.00元/㎡,10302611.00元,2021年03月05日
88,北京市朝阳区南磨房路16号院1号楼8层2单元803:148.11(㎡),住宅用房,北京市朝阳区南磨房路16号院1号楼8层2单元803,南磨房路16号院,148.11㎡,3室1厅2卫,南北,8,,住宅,33306.00元/㎡,4932952.00元,2020年10月14日
89,北京市朝阳区双桥东路12号院3号楼11层3单元1103:83.62(㎡),住宅用房,北京市朝阳区双桥东路12号院3号楼11层3单元1103,双桥东路12号院,83.62㎡,2室1厅1卫,东西,11,,住宅,33652.00元/㎡,2813980.00元,2022年03月02日
90,北京市朝阳区向军北里28号院2号楼20层5单元2302:233.46(㎡),住宅用房,北京市朝阳区向军北里28号院2号楼20层5单元2302,向军北里28号院,233.46㎡,5室2厅2卫,南北,20,,住宅,58799.00元/㎡,13727215.00元,2020年10月14日
91,北京市朝阳区周庄山水文园4号楼6层8-602:221.33(㎡),住宅用房,北京市朝阳区周庄山水文园4号楼6层8-602,山水文园4号楼,221.33㎡,5室3厅3卫,南北,6,,住宅,81322.00元/㎡,17998998.00元,2020年08月04日
92,北京市朝阳区呼家楼北街13号楼1层3单元131:61.45(㎡),住宅用房,北京市朝阳区呼家楼北街13号楼1层3单元131,呼家楼北街13号楼,61.45㎡,2室1厅1卫,南北,1,,住宅,52947.00元/㎡,3253593.00元,2020年11月30日
93,北京市朝阳区四季星河中街1号院1号楼10层3单元1102号:330.17(㎡),住宅用房,北京市朝阳区四季星河中街1号院1号楼10层3单元1102号,星河湾,330.17㎡,3室3厅4卫,南北,10,,住宅,66815.00元/㎡,22060309.00元,2020年11月14日
94,北京市朝阳区垡头翠成馨园503号楼26层2602:79.69(㎡),住宅用房,北京市朝阳区垡头翠成馨园503号楼26层2602,翠成馨园,79.69㎡,2室1厅1卫,东向,26,,住宅,32274.00元/㎡,2571915.00元,2020年10月13日
95,北京市朝阳区域清街2号院8号楼14层2单元1402:104.87(㎡),住宅用房,北京市朝阳区域清街2号院8号楼14层2单元1402,域清街2号院,104.87㎡,2室1厅1卫,南北,14,,住宅,100389.00元/㎡,10527794.00元,2021年06月22日
96,北京市朝阳区天畅园4号楼30层3002:90.08(㎡),住宅用房,北京市朝阳区天畅园4号楼30层3002,天畅园,90.08㎡,1室1厅1卫,东北,30,,住宅,56809.00元/㎡,5117355.00元,2020年07月15日
97,北京市朝阳区太阳宫南街25号院1号楼19层1193:96.88(㎡),住宅用房,北京市朝阳区太阳宫南街25号院1号楼19层1193,太阳宫南街,96.88㎡,2室1厅2卫,南北,19,,住宅,64402.00元/㎡,6239266.00元,2021年02月26日
98,北京市朝阳区太阳宫金星园1号楼8层3-3084号:132.58(㎡),住宅用房,北京市朝阳区太阳宫金星园1号楼8层3-3084号,太阳宫金星园1号楼,132.58㎡,3室2厅2卫,南北,8,,住宅,75377.00元/㎡,9993483.00元,2020年08月31日
99,北京市朝阳区安华里一区8号楼15层1501:84.41(㎡),住宅用房,北京市朝阳区安华里一区8号楼15层1501,安华里一区,84.41㎡,3室1厅1卫,东南,15,,住宅,79931.00元/㎡,6746976.00元,2021年03月25日
100,北京市朝阳区安慧东里11号楼3层303:45.91(㎡),住宅用房,北京市朝阳区安慧东里11号楼3层303,安慧东里,45.91㎡,1室1厅1卫,西向,3,,住宅,74589.00元/㎡,3424381.00元,2021年05月28日
101,北京市朝阳区安贞西里四区8号楼6层3门601号:75.91(㎡),住宅用房,北京市朝阳区安贞西里四区8号楼6层3门601号,安贞西里四区,75.91㎡,3室1厅1卫,南北,6,,住宅,69827.00元/㎡,5300568.00元,2020年12月29日
102,北京市朝阳区定福庄西里1号院14号楼2层3-201:70.96(㎡),住宅用房,北京市朝阳区定福庄西里1号院14号楼2层3-201,定福庄西里,70.96㎡,2室1厅1卫,东西,2,,住宅,50229.00元/㎡,3564250.00元,2021年12月08日
103,小庄6号1号楼28至29层3205:378.35(㎡),住宅用房,小庄6号1号楼28至29层3205,纽约豪园,378.35㎡,5室2厅3卫,东南,28,,高档公寓,60119.00元/㎡,22746024.00元,2021年03月18日
104,朝阳区小庄6号3号楼25至26层29D:370.58(㎡),住宅用房,朝阳区小庄6号3号楼25至26层29D,纽约豪园,370.58㎡,5室2厅3卫,东北,25,,高档公寓,56673.00元/㎡,21001880.00元,2021年03月18日
105,北京市朝阳区小营路9号院2号楼4层412:134.37(㎡),住宅用房,北京市朝阳区小营路9号院2号楼4层412,小营路9号院,134.37㎡,3室1厅1卫,北向,4,,住宅,57800.00元/㎡,7766586.00元,2021年04月19日
106,朝阳区左安门外饮马井1号院1号楼12层1308:45.49(㎡),住宅用房,朝阳区左安门外饮马井1号院1号楼12层1308,新标家园,45.49㎡,1室1厅1卫,北向,12,,住宅,82980.00元/㎡,3774760.00元,2022年03月22日
107,北京市朝阳区常通路4号院3号楼13层7单元1602号:142.11(㎡),住宅用房,北京市朝阳区常通路4号院3号楼13层7单元1602号,长楹天街,142.11㎡,3室2厅2卫,南北,13,,住宅,68247.00元/㎡,9698581.00元,2021年01月19日
108,北京市朝阳区幸福二村39号楼13层2单元1306:92.03(㎡),住宅用房,北京市朝阳区幸福二村39号楼13层2单元1306,幸福二村,92.03㎡,1室1厅1卫,东向,13,,高档公寓,64290.00元/㎡,5916609.00元,2020年09月08日
109,北京市朝阳区康静里17号楼3层7门302:47(㎡),住宅用房,北京市朝阳区康静里17号楼3层7门302,康静里17号楼,47.00㎡,1室1厅1卫,南向,3,,住宅,50272.00元/㎡,2362784.00元,2021年03月25日
110,北京市朝阳区建国路18号院5号楼24层2405:153.52(㎡),住宅用房,北京市朝阳区建国路18号院5号楼24层2405,建国路18号院,153.52㎡,3室2厅2卫,南北,24,,住宅,49968.00元/㎡,7671087.00元,2021年01月06日
111,北京市朝阳区建国路88号院10号楼23层2709,住宅用房,北京市朝阳区建国路88号院10号楼23层2709,SOHO现代城,137.89㎡,4室0厅0卫,西向,27,,10住宅,45516.00元/㎡,6276201.00元,2021年01月29日
